name_name,name_rate
I Kall K6 Smartphone ,"5,299"
I Kall K6 Smartphone 4G Dual Sim 4GB Ram and 32GB Internal Memory Red,"5,499"
I Kall K600 Smartphone ,"3,199"
I Kall K600 Smartphone 4G Dual Sim 2GB Ram and 16GB Internal Memory Gold,"3,199"
I Kall K7 Smartphone 4G Dual Sim 2GB Ram and 16GB Internal Memory Blue,"3,899"
I Kall K700 Smartphone 4G Dual Sim 4GB Ram and 32GB Internal Memory Green,"5,599"
I Kall K700 Smartphone 4G Dual Sim 4GB Ram and 32GB Internal Memory Red,"5,599"
I Kall K8 Plus ,"3,399"
I Kall K8 Smartphone 4G Dual Sim 2GB Ram and 16GB Internal Memory - Green,"3,499"
I Kall K9 Smartphone 4G Dual Sim 2GB Ram and 16GB Internal Memory Blue,"3,999"
IKALL K1 5 Inch 4G Volte Dual Sim Android Mobile Phone with Selfie Stick ,"3,419"
IKALL K1 5 Inch Display 4G Volte Smart Phone with Fingure Ring Mobile Holder ,"3,229"
IKALL K4 5.45 Inch Display 4G Golden Smartphone with Car Holder ,"3,499"
IKALL K8 5.45 Inch 4G Android Mobile Phone ,"3,899"
IKALL K-9 5.99 Inch Display 4G Smartphone ,10129
InFocus A1 ,"3,940"
InFocus A1s ,"5,299"
"InFocus A1s M505- 1GB RAM,8GB ROM Black Sapphire","3,849"
INFOCUS A3 2GB RAM ,"4,899"
INFOCUS BINGO50 M460,"9,990"
InFocus Hero Smart P1 - White,10129
InFocus M680 ,"10,500"
Infocus M808 ,"7,490"
Infocus M808 ,"5,999"
InFocus M812i ,"7,917"
InFocus Turbo 5 ,10129
InFocus Turbo 5s ,"6,050"
InFocus Vision 3 ,10129
Intex Aqua 4.0 4G ,"2,999.00"
Intex Aqua Amaze+ ,"3,880"
Intex Aqua Amaze+ ,"4,050"
Intex Aqua Elyt Dual ,"4,550"
INTEX Aqua Lions 2 4G volte Smart Phone ,"3,995"
Intex Aqua Lions 3 ,"5,440"
Intex Aqua Lions T1 Plus ,"4,495"
Intex Aqua Power 4G ,10129
Intex Aqua Ring ,"4,499"
Intex Aqua Selfie ,"5,390"
Intex Aqua Selfie ,"6,495"
Intex Aqua Speed HD ,"3,980"
Intex Aqua Style 3 ,"4,999"
Intex Aqua Super ,10129
Intex Aqua Supreme+ ,"4,924"
Intex Aqua Trend Lite ,"4,495"
Intex Aqua Young ,10129
Intex Cloud Crystal 2.5D ,"6,800"
Intex Elyt E6 ,"6,729"
Intex Indie 22 ,"5,433"
Intex Infie 33 ,"3,990"
"I-Smart i1-Jumbo 6.0"" Display Dual Sim 2GB RAM 16 GB Internal Memory Screen Finger Sensor Unlock 4G Volte Jio Support Smartphone Red","4,098"
I-Smart i1-Mega 2GB RAM 16 GB Internal 4G Volte Jio Support Smartphone Red,"3,898"
I-Smart IS-206 Beats Dual Sim GSM Back LED Flash 16 GB Expandable Support 2800mAh Battery Mobile Phone Black,10129
I-Smart IS-206 Beats Dual Sim GSM Back LED Flash 16 GB Expandable Support 2800mAh Battery Mobile Phone Orange,10129
